b:tnow in s;m:u in p.u.
9.78;0.999935
9.8;0.999922
9.82;0.999866
9.84;0.999882
9.86;0.999970
9.88;0.999981
9.9;0.999929
9.92;0.999902
9.94;0.999878
9.96;0.999856
9.98;0.999842
10;0.999850
10.02;0.999884
10.04;0.999870
10.06;0.999821
10.08;0.999837
10.1;0.999882
10.12;0.999868
10.14;0.999814
10.16;0.999751
10.18;0.999737
10.2;0.999784
10.22;0.999816
10.24;0.999828
10.26;0.999861
10.28;0.999924
10.3;0.999943
10.32;0.999912
10.34;0.999959
10.36;1.000052
10.38;1.000072
10.4;1.000015
10.42;0.999928
10.44;0.999913
10.46;0.999981
10.48;1.000019
10.5;1.000007
10.52;0.999985
10.54;0.999949
10.56;0.999937
10.58;0.999959
10.6;0.999952
10.62;0.999941
10.64;0.999965
10.66;1.000004
10.68;1.000022
10.7;1.000005
10.72;0.999966
10.74;0.999894
10.76;0.999813
10.78;0.999800
10.8;0.999867
10.82;0.999959
10.84;0.999977
10.86;0.999899
10.88;0.999889
10.9;0.999954
10.92;0.999949
10.94;0.999885
10.96;0.999855
10.98;0.999929
11;0.999986
11.02;0.999845
11.04;0.999697
11.06;0.999768
11.08;0.999895
11.1;0.999911
11.12;0.999884
11.14;0.999897
11.16;0.999908
11.18;0.999859
11.2;0.999807
11.22;0.999841
11.24;0.999918
11.26;0.999955
11.28;0.999951
11.3;0.999917
11.32;0.999901
11.34;0.999946
11.36;1.000003
11.38;1.000024
11.4;1.000021
11.42;0.999982
11.44;0.999914
11.46;0.999884
11.48;0.999904
11.5;0.999918
11.52;0.999898
11.54;0.999884
11.56;0.999903
11.58;0.999940
11.6;0.999952
11.62;0.999921
11.64;0.999911
11.66;0.999974
11.68;1.000006
11.7;0.999946
11.72;0.999869
11.74;0.999810
11.76;0.999787
11.78;0.999851
11.8;1.000006
11.82;1.000109
11.84;1.000070
11.86;1.000022
11.88;0.999990
11.9;0.999904
11.92;0.999859
11.94;0.999878
11.96;0.999932
11.98;1.000010
12;1.000015
12.02;0.999963
12.04;0.999961
12.06;0.999996
12.08;1.000001
12.1;0.999978
12.12;0.999980
12.14;1.000021
12.16;1.000024
12.18;1.000001
12.2;1.000037
12.22;1.000080
12.24;1.000039
12.26;0.999960
12.28;0.999956
12.3;1.000019
12.32;1.000002
12.34;0.999849
12.36;0.999769
12.38;0.999853
12.4;0.999916
12.42;0.999913
12.44;0.999938
12.46;0.999983
12.48;1.000010
12.5;1.000007
12.52;0.999974
12.54;0.999920
12.56;0.999878
12.58;0.999877
12.6;0.999902
12.62;0.999915
12.64;0.999897
12.66;0.999897
12.68;0.999950
12.7;0.999993
12.72;1.000034
12.74;1.000112
12.76;1.000114
12.78;1.000058
12.8;1.000040
12.82;1.000004
12.84;0.999935
12.86;0.999873
12.88;0.999868
12.9;0.999893
12.92;0.999915
12.94;0.999982
12.96;1.000023
12.98;1.000044
13;1.000085
13.02;1.000059
13.04;0.999965
13.06;0.999892
13.08;0.999910
13.1;0.999960
13.12;0.999927
13.14;0.999873
13.16;0.999885
13.18;0.999918
13.2;0.999923
13.22;0.999952
13.24;1.000032
13.26;1.000044
13.28;0.999948
13.3;0.999864
13.32;0.999867
13.34;0.999871
13.36;0.999818
13.38;0.999811
13.4;0.999827
13.42;0.999816
13.44;0.999855
13.46;0.999883
13.48;0.999891
13.5;0.999947
13.52;0.999949
13.54;0.999911
13.56;0.999962
13.58;1.000045
13.6;1.000047
13.62;0.999981
13.64;0.999939
13.66;0.999943
13.68;0.999953
13.7;0.999979
13.72;1.000014
13.74;1.000027
13.76;1.000034
13.78;1.000048
13.8;1.000071
13.82;1.000087
13.84;1.000084
13.86;1.000104
13.88;1.000149
13.9;1.000188
13.92;1.000181
13.94;1.000102
13.96;1.000093
13.98;1.000141
14;1.000045
14.02;0.999885
14.04;0.999830
14.06;0.999856
14.08;0.999876
14.1;0.999894
14.12;0.999932
14.14;0.999978
14.16;1.000068
14.18;1.000172
14.2;1.000177
14.22;1.000169
14.24;1.000200
14.26;1.000144
14.28;1.000028
14.3;0.999935
14.32;0.999837
14.34;0.999772
14.36;0.999857
14.38;1.000007
14.4;1.000047
14.42;1.000019
14.44;1.000044
14.46;1.000109
14.48;1.000137
14.5;1.000128
14.52;1.000126
14.54;1.000143
14.56;1.000146
14.58;1.000108
14.6;1.000024
14.62;0.999925
14.64;0.999836
14.66;0.999841
14.68;0.999925
14.7;0.999943
14.72;0.999967
14.74;1.000050
14.76;1.000094
14.78;1.000095
14.8;1.000078
14.82;1.000038
14.84;0.999973
14.86;0.999935
14.88;0.999962
14.9;0.999955
14.92;0.999872
14.94;0.999833
14.96;0.999865
14.98;0.999964
15;1.000116
15.02;1.000160
15.04;1.000095
15.06;1.000067
15.08;1.000029
15.1;0.999913
15.12;0.999751
15.14;0.999672
15.16;0.999810
15.18;0.999986
15.2;0.999956
15.22;0.999855
15.24;0.999870
15.26;0.999937
15.28;0.999950
15.3;0.999927
15.32;0.999930
15.34;0.999933
15.36;0.999874
15.38;0.999837
15.4;0.999897
15.42;0.999951
15.44;0.999968
15.46;1.000047
15.48;1.000142
15.5;1.000143
15.52;1.000062
15.54;0.999981
15.56;0.999965
15.58;0.999991
15.6;0.999957
15.62;0.999898
15.64;0.999913
15.66;0.999979
15.68;1.000019
15.7;1.000039
15.72;1.000071
15.74;1.000125
15.76;1.000207
15.78;1.000244
15.8;1.000200
15.82;1.000163
15.84;1.000147
15.86;1.000103
15.88;1.000040
15.9;0.999978
15.92;0.999947
15.94;0.999954
15.96;0.999997
15.98;1.000074
16;1.000144
16.02;1.000180
16.04;1.000187
16.06;1.000178
16.08;1.000137
16.1;1.000075
16.12;1.000041
16.14;1.000057
16.16;1.000070
16.18;1.000049
16.2;1.000035
16.22;1.000032
16.24;1.000045
16.26;1.000092
16.28;1.000121
16.3;1.000109
16.32;1.000087
16.34;1.000044
16.36;1.000001
16.38;0.999999
16.4;1.000054
16.42;1.000114
16.44;1.000088
16.46;1.000017
16.48;0.999976
16.5;0.999943
16.52;0.999927
16.54;0.999964
16.56;1.000003
16.58;0.999998
16.6;0.999972
16.62;0.999960
16.64;0.999970
16.66;0.999983
16.68;1.000011
16.7;1.000088
16.72;1.000155
16.74;1.000185
16.76;1.000233
16.78;1.000269
16.8;1.000245
16.82;1.000241
16.84;1.000252
16.86;1.000135
16.88;0.999987
16.9;0.999977
16.92;1.000002
16.94;1.000012
16.96;1.000063
16.98;1.000159
17;1.000189
17.02;1.000051
17.04;0.999965
17.06;1.000063
17.08;1.000150
17.1;1.000162
17.12;1.000100
17.14;1.000007
17.16;1.000015
17.18;1.000062
17.2;1.000006
17.22;0.999891
17.24;0.999890
17.26;1.000029
